symbol,company,market_cap_cr,rank,cap_tier
509930,SUPREME INDUSTRIES LTD.,51140.48,193,Mid
532523,BIOCON LTD.,50156.72,194,Mid
500483,TATA COMMUNICATIONS LTD.,49907.59,195,Mid
540222,Laurus Labs Limited,49375.18,196,Mid
539177,Authum Investment & Infrastruc,49310.60,197,Mid
500163,GODFREY PHILLIPS INDIA LTD.,49052.93,198,Mid
532644,J.K.CEMENT LTD.,48678.99,199,Mid
532478,UNITED BREWERIES LTD.,48008.87,200,Mid
533758,APL APOLLO TUBES LTD.,47513.11,201,Mid
532827,PAGE INDUSTRIES LTD.,47336.26,202,Mid
500660,GLAXOSMITHKLINE PHARMACEUTICAL,46769.58,203,Mid
502355,BALKRISHNA INDUSTRIES LTD.,46618.72,204,Mid
544325,ITC Hotels Limited,46322.21,205,Mid
540678,Cochin Shipyard Limited,46225.81,206,Mid
544238,Premier Energies Limited,45789.41,207,Mid
544362,Hexaware Technologies Limited,45651.85,208,Mid
540115,L&T Technology Services Limite,45463.29,209,Mid
500575,VOLTAS LTD.,45322.25,210,Mid
534091,MULTI COMMODITY EXCHANGE OF IN,45092.61,211,Mid
542772,360 ONE WAM LIMITED,44932.24,212,Mid
540530,Housing &Urban Development Cor,44791.80,213,Mid
532525,BANK OF MAHARASHTRA,43642.98,214,Mid
500459,PROCTER & GAMBLE HYGIENE & HEA,43172.86,215,Mid
532522,PETRONET LNG LTD.,42178.04,216,Mid
544026,Indian Renewable Energy Develo,41747.74,217,Mid
544449,Anthem Biosciences Limited,41542.90,218,Mid
531344,CONTAINER CORPORATION OF INDIA,41501.97,219,Mid
532720,MAHINDRA & MAHINDRA FINANCIAL,41376.19,220,Mid
532234,NATIONAL ALUMINIUM CO.LTD.,41313.79,221,Mid
542216,DALMIA BHARAT LIMITED,41112.53,222,Mid
533155,JUBILANT FOODWORKS LTD,40943.76,223,Mid
543664,KAYNES TECHNOLOGY INDIA LIMITE,40788.86,224,Mid
500495,Escorts Kubota Limited,40130.68,225,Mid
532497,RADICO KHAITAN LTD.,40110.83,226,Mid
542812,Gujarat Fluorochemicals Limite,39087.82,227,Mid
540153,Endurance Technologies Limited,38667.47,228,Mid
517569,KEI INDUSTRIES LTD.,38632.91,229,Mid
532830,ASTRAL LIMITED,38626.78,230,Mid
500411,THERMAX LTD.,38582.74,231,Mid
544609,Physicswallah Limited,38491.00,232,Mid
532505,UCO BANK,38062.84,233,Mid
500067,BLUE STAR LTD.,37851.41,234,Mid
539551,Narayana Hrudayalaya Limited,37851.07,235,Mid
501301,TATA INVESTMENT CORPORATION LT,37809.03,236,Mid
500164,GODREJ INDUSTRIES LTD.,37682.43,237,Mid
524000,POONAWALLA FINCORP LIMITED,36984.18,238,Mid
500092,CRISIL LTD.,36290.82,239,Mid
532889,K.P.R.MILL LIMITED,36165.54,240,Mid
504973,CHOLAMANDALAM FINANCIAL HOLDIN,35795.09,241,Mid
523395,3M INDIA LTD.,35768.38,242,Mid
524494,IPCA LABORATORIES LTD.,35215.54,243,Mid
544597,Piramal Finance Limited,35105.31,244,Mid
532259,APAR INDUSTRIES LTD.,34902.43,245,Mid
533206,SJVN LTD,34832.21,246,Mid
543654,Global Health Limited,34761.46,247,Mid
500410,ACC LTD.,34699.88,248,Mid
500408,TATA ELXSI LTD.,34603.20,249,Mid
513683,NLC India Limited,34423.14,250,Mid
532885,CENTRAL BANK OF INDIA,33882.70,251,Small
543458,AWL AGRI BUSINESS LIMITED,33879.27,252,Small
542651,KPIT Technologies Ltd,33295.39,253,Small
543529,Delhivery Limited,32985.24,254,Small
540975,Aster DM Healthcare Limited,32945.32,255,Small
500086,EXIDE INDUSTRIES LTD.,32936.69,256,Small
544179,Go Digit General Insurance Lim,32606.48,257,Small
517174,HONEYWELL AUTOMATION INDIA LTD,32472.09,258,Small
532331,AJANTA PHARMA LTD.,32249.53,259,Small
543426,Metro Brands Limited,32065.72,260,Small
532683,AIA ENGINEERING LTD.,31493.50,261,Small
543064,Cohance Lifesciences Limited,31438.30,262,Small
500253,LIC HOUSING FINANCE LTD.,31409.73,263,Small
507815,GILLETTE INDIA LTD.,31179.00,264,Small
543245,Gland Pharma Limited,31064.63,265,Small
500877,APOLLO TYRES LTD.,30841.61,266,Small
540769,The New India Assurance Compan,30194.37,267,Small
534309,NBCC (India) Limited,30065.06,268,Small
523610,ITI LTD.,30012.39,269,Small
513599,HINDUSTAN COPPER LTD.,29929.32,270,Small
542011,Garden Reach Shipbuilders & En,29787.90,271,Small
543498,Motherson Sumi Wiring India Li,29601.56,272,Small
539336,Gujarat Gas Limited,29362.98,273,Small
541179,ICICI Securities Limited,29132.36,274,Small
532514,INDRAPRASTHA GAS LTD.,29027.20,275,Small
543300,Sona BLW Precision Forgings Li,28833.79,276,Small
544407,AEGIS VOPAK TERMINALS LIMITED,28632.21,277,Small
543308,Krishna Institute of Medical S,28469.14,278,Small
544028,Tata Technologies Limited,27831.74,279,Small
544606,Pine Labs Limited,27485.91,280,Small
544309,INVENTURUS KNOWLEDGE SOLUTIONS,27302.60,281,Small
539533,ELITECON INTERNATIONAL LIMITED,27167.07,282,Small
543412,Star Health and Allied Insuran,26983.32,283,Small
506943,J.B.CHEMICALS & PHARMACEUTICAL,26957.36,284,Small
520056,TVS Holdings Limited,26832.86,285,Small
532504,NAVIN FLUORINE INTERNATIONAL L,26727.26,286,Small
532947,IRB INFRASTRUCTURE DEVELOPERS,26589.24,287,Small
542920,SUMITOMO CHEMICAL INDIA LIMITE,26460.49,288,Small
542752,AFFLE 3I LIMITED,26433.39,289,Small
500003,AEGIS LOGISTICS LTD.,26422.61,290,Small
539268,Syngene International Limited,26232.12,291,Small
541153,Bandhan Bank Limited,26207.69,292,Small
544210,Emcure Pharmaceuticals Limited,26076.33,293,Small
500302,PIRAMAL ENTERPRISES LTD.,26066.51,294,Small
540902,Amber Enterprises India Limite,26019.11,295,Small
539524,Dr. Lal Pathlabs Limited,26017.44,296,Small
543635,PIRAMAL PHARMA LIMITED,25718.79,297,Small
533023,ZF Commercial Vehicle Control,25708.97,298,Small
543988,Nuvama Wealth Management Limit,25540.53,299,Small
500109,MANGALORE REFINERY & PETROCHEM,25242.22,300,Small
500260,THE RAMCO CEMENTS LIMITED,25044.43,301,Small
543299,Shyam Metalics and Energy Limi,24905.91,302,Small
531162,EMAMI LTD.,24544.82,303,Small
539083,Inox Wind Limited,24539.03,304,Small
532809,FIRSTSOURCE SOLUTIONS LTD.,24403.64,305,Small
506401,DEEPAK NITRITE LTD.,24199.42,306,Small
500840,EIH LTD.,23927.82,307,Small
532300,WOCKHARDT LTD.,23916.61,308,Small
539006,PTC Industries Ltd.,23911.16,309,Small
500680,PFIZER LTD.,23802.19,310,Small
543415,Anand Rathi Wealth Limited,23643.42,311,Small
540680,KIOCL Limited,23624.30,312,Small
531213,Manappuram Finance Ltd,23545.40,313,Small
540173,PNB Housing Finance Limited,23490.96,314,Small
532929,BRIGADE ENTERPRISES LTD.,23416.88,315,Small
506285,BAYER CROPSCIENCE LTD.,23405.20,316,Small
543374,Aditya Birla Sun Life AMC Limi,23403.38,317,Small
544467,National Securities Depository,23327.93,318,Small
522113,TIMKEN INDIA LTD.,23199.59,319,Small
500184,Himadri Speciality Chemical Lt,23186.92,320,Small
500033,FORCE MOTORS LTD.,23014.93,321,Small
532144,WELSPUN CORP LIMITED,22987.79,322,Small
543235,ANGEL ONE LIMITED,22921.14,323,Small
500770,TATA CHEMICALS LTD.,22735.03,324,Small
515030,ASAHI INDIA GLASS LTD.,22714.94,325,Small
506820,ASTRAZENECA PHARMA INDIA LTD.,22583.64,326,Small
540596,Eris Lifesciences Limited,22572.77,327,Small
500084,CESC LTD.,22519.02,328,Small
517271,HBL ENGINEERING LIMITED,22517.02,329,Small
532733,SUN TV NETWORK LTD.,22228.17,330,Small
544282,Sagility Limited,21900.41,331,Small
544081,Jyoti CNC Automation Limited,21734.43,332,Small
544176,Aadhar Housing Finance Limited,21636.16,333,Small
532714,KEC INTERNATIONAL LTD.,21634.91,334,Small
532636,IIFL FINANCE LIMITED,21399.40,335,Small
532805,Redington Limited,21393.29,336,Small
531531,HATSUN AGRO PRODUCT LTD.,21359.98,337,Small
